Tecnica,Modelo,Parametros,Tiempo,Accuracy Todas,Accuracy Aceptadas,F1 score Todas,F1 score Aceptadas,len(rejected),rejected
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectFdr'>,{},0.014960527420043945,0.9351851851851851,0.9351851851851851,0.9256198347107438,0.9256198347107438,0,[]
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectFpr'>,{},0.014959335327148438,0.9351851851851851,0.9351851851851851,0.9256198347107438,0.9256198347107438,0,[]
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectFwe'>,{},0.012963533401489258,0.9351851851851851,0.9351851851851851,0.9256198347107438,0.9256198347107438,0,[]
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectKBest'>,{},0.012938261032104492,0.9351851851851851,0.9351851851851851,0.9256198347107438,0.9256198347107438,20,"['radius_se', 'compactness_se', 'smoothness_mean', 'fractal_dimension_se', 'symmetry_mean', 'perimeter_se', 'compactness_mean', 'symmetry_worst', 'concave points_se', 'fractal_dimension_worst', 'texture_se', 'texture_worst', 'smoothness_worst', 'symmetry_se', 'smoothness_se', 'compactness_worst', 'fractal_dimension_mean', 'texture_mean', 'concavity_se', 'radius_mean']"
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectPercentile'>,{},0.011967658996582031,0.9351851851851851,0.9576719576719577,0.9256198347107438,0.9448818897637795,27,"['radius_worst', 'radius_se', 'area_mean', 'perimeter_mean', 'compactness_se', 'texture_se', 'smoothness_mean', 'area_worst', 'area_se', 'texture_worst', 'smoothness_worst', 'fractal_dimension_se', 'symmetry_se', 'symmetry_mean', 'perimeter_se', 'smoothness_se', 'compactness_mean', 'symmetry_worst', 'concave points_se', 'compactness_worst', 'fractal_dimension_mean', 'texture_mean', 'concavity_se', 'fractal_dimension_worst', 'radius_mean', 'concavity_worst', 'concavity_mean']"
Chi2,<class 'sklearn.feature_selection._univariate_selection.GenericUnivariateSelect'>,{},0.012416362762451172,0.9351851851851851,0.9047619047619047,0.9256198347107438,0.8721804511278196,29,"['radius_worst', 'radius_se', 'area_mean', 'perimeter_mean', 'compactness_se', 'texture_se', 'smoothness_mean', 'area_worst', 'area_se', 'texture_worst', 'smoothness_worst', 'fractal_dimension_se', 'symmetry_se', 'concave points_worst', 'symmetry_mean', 'perimeter_se', 'smoothness_se', 'compactness_mean', 'symmetry_worst', 'concave points_se', 'compactness_worst', 'perimeter_worst', 'fractal_dimension_mean', 'texture_mean', 'concavity_se', 'fractal_dimension_worst', 'radius_mean', 'concavity_worst', 'concavity_mean']"
F1C,<class 'sklearn.feature_selection._univariate_selection.SelectFdr'>,{},0.011475563049316406,0.9351851851851851,0.9351851851851851,0.9256198347107438,0.9256198347107438,4,"['smoothness_se', 'fractal_dimension_mean', 'symmetry_se', 'texture_se']"
F1C,<class 'sklearn.feature_selection._univariate_selection.SelectFpr'>,{},0.012686967849731445,0.9351851851851851,0.9351851851851851,0.9256198347107438,0.9256198347107438,4,"['smoothness_se', 'fractal_dimension_mean', 'symmetry_se', 'texture_se']"
F1C,<class 'sklearn.feature_selection._univariate_selection.SelectFwe'>,{},0.012964963912963867,0.9351851851851851,0.9351851851851851,0.9256198347107438,0.9256198347107438,4,"['smoothness_se', 'fractal_dimension_mean', 'symmetry_se', 'texture_se']"
F1C,<class 'sklearn.feature_selection._univariate_selection.SelectKBest'>,{},0.011929512023925781,0.9351851851851851,0.9351851851851851,0.9256198347107438,0.9256198347107438,20,"['radius_se', 'compactness_se', 'smoothness_mean', 'fractal_dimension_se', 'symmetry_mean', 'perimeter_se', 'compactness_mean', 'symmetry_worst', 'concave points_se', 'fractal_dimension_worst', 'texture_se', 'texture_worst', 'area_se', 'smoothness_worst', 'symmetry_se', 'smoothness_se', 'compactness_worst', 'fractal_dimension_mean', 'texture_mean', 'concavity_se']"
F1C,<class 'sklearn.feature_selection._univariate_selection.SelectPercentile'>,{},0.011940717697143555,0.9351851851851851,0.9576719576719577,0.9256198347107438,0.9448818897637795,27,"['radius_worst', 'radius_se', 'area_mean', 'perimeter_mean', 'compactness_se', 'texture_se', 'smoothness_mean', 'area_worst', 'area_se', 'texture_worst', 'smoothness_worst', 'fractal_dimension_se', 'symmetry_se', 'symmetry_mean', 'perimeter_se', 'smoothness_se', 'compactness_mean', 'symmetry_worst', 'concave points_se', 'compactness_worst', 'fractal_dimension_mean', 'texture_mean', 'concavity_se', 'fractal_dimension_worst', 'radius_mean', 'concavity_worst', 'concavity_mean']"
F1C,<class 'sklearn.feature_selection._univariate_selection.GenericUnivariateSelect'>,{},0.01239156723022461,0.9351851851851851,0.9107142857142857,0.9256198347107438,0.8837209302325582,29,"['radius_worst', 'radius_se', 'area_mean', 'concave points_mean', 'perimeter_mean', 'compactness_se', 'texture_se', 'smoothness_mean', 'area_worst', 'area_se', 'texture_worst', 'smoothness_worst', 'fractal_dimension_se', 'symmetry_se', 'symmetry_mean', 'perimeter_se', 'smoothness_se', 'compactness_mean', 'symmetry_worst', 'concave points_se', 'compactness_worst', 'perimeter_worst', 'fractal_dimension_mean', 'texture_mean', 'concavity_se', 'fractal_dimension_worst', 'radius_mean', 'concavity_worst', 'concavity_mean']"
F1R,<class 'sklearn.feature_selection._univariate_selection.SelectFdr'>,{},0.011977672576904297,0.9351851851851851,0.9351851851851851,0.9256198347107438,0.9256198347107438,4,"['smoothness_se', 'fractal_dimension_mean', 'symmetry_se', 'texture_se']"
