Tecnica,Metodo,Modelo,Parametros,Tiempo,Accuracy Todas,Accuracy Aceptadas,F1 score Todas,F1 score Aceptadas,len(rejected),rejected
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectFdr'>,RandomForestClassifier(n_estimators=10),{},0.029919147491455078,0.9702380952380952,0.9497354497354498,0.9606299212598425,0.9365079365079365,0,[]
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectFdr'>,RandomForestClassifier(n_estimators=50),{},0.012965917587280273,0.966931216931217,0.9715608465608465,0.96,0.9677419354838709,0,[]
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectFdr'>,RandomForestClassifier(),{},0.01493215560913086,0.966931216931217,0.966931216931217,0.96,0.96,0,[]
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectFdr'>,<catboost.core.CatBoostClassifier object at 0x000001E3CC4F92E0>,{},0.025009870529174805,0.9748677248677249,0.9748677248677249,0.9682539682539683,0.9682539682539683,0,[]
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectFdr'>,<catboost.core.CatBoostClassifier object at 0x000001E3CC4F9340>,{},0.011967658996582031,0.9715608465608465,0.9715608465608465,0.9677419354838709,0.9677419354838709,0,[]
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectFdr'>,<catboost.core.CatBoostClassifier object at 0x000001E3CC4F93A0>,{},0.011967897415161133,0.9715608465608465,0.9715608465608465,0.9677419354838709,0.9677419354838709,0,[]
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectFdr'>,DecisionTreeClassifier(),{},0.013973236083984375,0.9206349206349206,0.9484126984126984,0.888888888888889,0.9302325581395349,0,[]
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectFdr'>,"DecisionTreeClassifier(max_depth=1, max_leaf_nodes=3)",{},0.01296544075012207,0.8935185185185185,0.8935185185185185,0.8615384615384615,0.8615384615384615,0,[]
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectFdr'>,"DecisionTreeClassifier(max_depth=10, max_leaf_nodes=5)",{},0.012935400009155273,0.9391534391534391,0.9391534391534391,0.916030534351145,0.916030534351145,0,[]
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectFdr'>,"XGBClassifier()",{},0.014440059661865234,0.9794973544973544,0.9794973544973544,0.976,0.976,0,[]
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectFdr'>,LogisticRegression(),{},0.016955137252807617,0.9589947089947091,0.9589947089947091,0.9516129032258064,0.9516129032258064,0,[]
