Tecnica,Metodo,Modelo,Parametros,Tiempo,Accuracy Todas,Accuracy Aceptadas,F1 score Todas,F1 score Aceptadas,len(rejected),rejected
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectFdr'>,RandomForestClassifier(n_estimators=10),{},0.027925491333007812,0.6975993506802236,0.7078310047929217,0.5599284436493738,0.5749778172138421,2,"['PhoneService', 'SeniorCitizen']"
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectFdr'>,RandomForestClassifier(n_estimators=50),{},0.014961004257202148,0.7158920336070529,0.7138391371382385,0.5864793678665496,0.5831157528285464,2,"['PhoneService', 'SeniorCitizen']"
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectFdr'>,RandomForestClassifier(),{},0.015954971313476562,0.7205864706934455,0.7120969768594929,0.5927209705372617,0.5806451612903226,2,"['PhoneService', 'SeniorCitizen']"
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectFdr'>,<catboost.core.CatBoostClassifier object at 0x0000019BF5995970>,{},0.01495051383972168,0.7502456457313111,0.7472039402933712,0.6306306306306306,0.6263286999182338,2,"['PhoneService', 'SeniorCitizen']"
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectFdr'>,<catboost.core.CatBoostClassifier object at 0x0000019BF59959D0>,{},0.013678312301635742,0.7269194893285609,0.7340952879035891,0.6008510638297873,0.6110638297872341,2,"['PhoneService', 'SeniorCitizen']"
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectFdr'>,<catboost.core.CatBoostClassifier object at 0x0000019BF5995A30>,{},0.014754772186279297,0.7348486392132092,0.7295327297466793,0.6124893071000855,0.6044142614601019,2,"['PhoneService', 'SeniorCitizen']"
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectFdr'>,DecisionTreeClassifier(),{},0.012965679168701172,0.6748714604940536,0.6654073077907053,0.5271059216013344,0.5138075313807531,2,"['PhoneService', 'SeniorCitizen']"
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectFdr'>,"DecisionTreeClassifier(max_depth=1, max_leaf_nodes=3)",{},0.013963460922241211,0.7345203568994754,0.7345203568994754,0.5889710062535531,0.5889710062535531,2,"['PhoneService', 'SeniorCitizen']"
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectFdr'>,"DecisionTreeClassifier(max_depth=10, max_leaf_nodes=5)",{},0.014928102493286133,0.7306064393141842,0.7306064393141842,0.6022364217252396,0.6022364217252396,2,"['PhoneService', 'SeniorCitizen']"
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectFdr'>,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=42, ...)",{},0.015960693359375,0.7178413513458443,0.7139427158682614,0.589585172109444,0.5834061135371179,2,"['PhoneService', 'SeniorCitizen']"
